algorithm,success,total_cost,solution_depth,execution_time_sec,expanded_nodes,chosen_nodes,iterations,max_fringe_size,path_length,actions,final_state,instance_id,grid,start,goal,max_battery,recharge_stations,obstacles,no_fly_zones
greedy,True,1.0999999999999999,10,0.002011600008700043,10,11,11,37,10,"['UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=4, y=4, z=2, battery=1, time_step=10)",16,5x5x3,"(0, 0, 0)","(4, 4, 2)",12,2,7,1
astar,True,0.9999999999999999,10,0.008637099992483854,28,29,29,83,10,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z', 'UP_X', 'UP_X']","DroneState(x=4, y=4, z=2, battery=2, time_step=10)",16,5x5x3,"(0, 0, 0)","(4, 4, 2)",12,2,7,1
depth_first,True,6.099999999999995,60,0.473813099990366,2100,2101,2101,121,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=4, z=2, battery=0, time_step=60)",17,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
breadth_first,True,1.0999999999999999,11,2.531211199995596,2302,2303,2303,852,11,"['UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",17,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
uniform_cost,True,1.0999999999999999,11,3.687903500016546,1662,1663,1663,901,11,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z', 'UP_X']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",17,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
greedy,True,1.0999999999999999,11,0.002224999974714592,11,12,12,38,11,"['UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",17,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
astar,True,1.0999999999999999,11,0.01503830001456663,41,42,42,109,11,"['UP_Y', 'UP_X', 'UP_Z', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Z', 'UP_X', 'UP_Y', 'UP_Y']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",17,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
depth_first,True,5.708974358974357,60,0.15944499999750406,792,793,793,121,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=3, y=3, z=2, battery=4, time_step=60)",18,4x4x3,"(0, 0, 0)","(3, 3, 2)",13,2,5,1
breadth_first,True,0.7487179487179487,8,0.3023383000108879,567,568,568,361,8,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=3, y=3, z=2, battery=5, time_step=8)",18,4x4x3,"(0, 0, 0)","(3, 3, 2)",13,2,5,1
uniform_cost,True,0.7487179487179487,8,0.4279880999820307,462,463,463,358,8,"['UP_Y', 'UP_X', 'UP_Z', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y']","DroneState(x=3, y=3, z=2, battery=5, time_step=8)",18,4x4x3,"(0, 0, 0)","(3, 3, 2)",13,2,5,1
